X,Y,fid,full_id,osm_id,osm_type,building,shelter_type,bin,bench,library,cuisine,image,building:type,addr:street,addr:city,school,height,building:levels,rooms,internet_access:fee,leisure,tourism,smoking,internet_access,type,opening_hours,name,atm,amenity,AREA,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle,x,y
72.9856901,33.6437205,4,w208960114,208960114,way,mosque,,,,,,,,,,,,,,,,,,,,,Masjid-e-Rehmat,,,3877.19,7,0,0,7,0.000837859,212.6830178,8124729.857,3981062.134
72.985505,33.6436803,4,w208960114,208960114,way,mosque,,,,,,,,,,,,,,,,,,,,,Masjid-e-Rehmat,,,3877.19,8,0,0,8,0.001027274,298.6129168,8124709.252,3981056.758
72.9854916,33.6437161,4,w208960114,208960114,way,mosque,,,,,,,,,,,,,,,,,,,,,Masjid-e-Rehmat,,,3877.19,9,0,0,9,0.001065499,28.86248204,8124707.76,3981061.545
72.9855238,33.6437228,4,w208960114,208960114,way,mosque,,,,,,,,,,,,,,,,,,,,,Masjid-e-Rehmat,,,3877.19,10,0,0,10,0.001098389,31.9002924,8124711.345,3981062.441
72.9855077,33.6437853,4,w208960114,208960114,way,mosque,,,,,,,,,,,,,,,,,,,,,Masjid-e-Rehmat,,,3877.19,11,0,0,11,0.001162929,301.9171908,8124709.552,3981070.799
72.9854648,33.6437764,4,w208960114,208960114,way,mosque,,,,,,,,,,,,,,,,,,,,,Masjid-e-Rehmat,,,3877.19,12,0,0,12,0.001206743,299.8300725,8124704.777,3981069.608
72.985446,33.6438322,4,w208960114,208960114,way,mosque,,,,,,,,,,,,,,,,,,,,,Masjid-e-Rehmat,,,3877.19,13,0,0,13,0.001265625,17.64471263,8124702.684,3981077.07
72.9854674,33.6438478,4,w208960114,208960114,way,mosque,,,,,,,,,,,,,,,,,,,,,Masjid-e-Rehmat,,,3877.19,14,0,0,14,0.001292107,15.6524835,8124705.066,3981079.156
72.985446,33.6438992,4,w208960114,208960114,way,mosque,,,,,,,,,,,,,,,,,,,,,Masjid-e-Rehmat,,,3877.19,15,0,0,15,0.001347784,303.6979835,8124702.684,3981086.029
72.9854245,33.6438992,4,w208960114,208960114,way,mosque,,,,,,,,,,,,,,,,,,,,,Masjid-e-Rehmat,,,3877.19,16,0,0,16,0.001369284,306.7779071,8124700.291,3981086.029
72.9853843,33.6440354,4,w208960114,208960114,way,mosque,,,,,,,,,,,,,,,,,,,,,Masjid-e-Rehmat,,,3877.19,17,0,0,17,0.001511293,30.75944335,8124695.816,3981104.241
72.9858242,33.6441292,4,w208960114,208960114,way,mosque,,,,,,,,,,,,,,,,,,,,,Masjid-e-Rehmat,,,3877.19,18,0,0,18,0.001961082,33.28546834,8124744.785,3981116.784
72.9858188,33.644156,4,w208960114,208960114,way,mosque,,,,,,,,,,,,,,,,,,,,,Masjid-e-Rehmat,,,3877.19,19,0,0,19,0.001988421,33.30374676,8124744.184,3981120.368
72.9863123,33.6442609,4,w208960114,208960114,way,mosque,,,,,,,,,,,,,,,,,,,,,Masjid-e-Rehmat,,,3877.19,20,0,0,20,0.002492947,120.554575,8124799.12,3981134.395
72.9864357,33.6438545,4,w208960114,208960114,way,mosque,,,,,,,,,,,,,,,,,,,,,Masjid-e-Rehmat,,,3877.19,21,0,0,21,0.002917668,210.3942693,8124812.857,3981080.052
72.9935408,33.6494032,5,w208966637,208966637,way,yes,,,,,,,,,,,,,,,,,,,,,SCME Canteen,,public_building,13.398,0,0,0,0,0,224.8459806,8125603.793,3981822.034
72.9935408,33.6493697,5,w208966637,208966637,way,yes,,,,,,,,,,,,,,,,,,,,,SCME Canteen,,public_building,13.398,1,0,0,1,0.0000335,135,8125603.793,3981817.554
72.9935811,33.6493697,5,w208966637,208966637,way,yes,,,,,,,,,,,,,,,,,,,,,SCME Canteen,,public_building,13.398,2,0,0,2,0.0000738,42.37212971,8125608.279,3981817.554
72.993578,33.6494034,5,w208966637,208966637,way,yes,,,,,,,,,,,,,,,,,,,,,SCME Canteen,,public_building,13.398,3,0,0,3,0.000107642,312.2181103,8125607.934,3981822.061
72.9935408,33.6494032,5,w208966637,208966637,way,yes,,,,,,,,,,,,,,,,,,,,,SCME Canteen,,public_building,13.398,4,0,0,4,0.000144843,224.8459806,8125603.793,3981822.034
72.9900139,33.6461987,6,w208966900,208966900,way,yes,,,,,,,,,,,,,,,,,,,,,Student Center and Concordia 1,,public_building,1255.513,0,0,0,0,0,134.193194,8125211.18,3981393.517
72.9900461,33.6461875,6,w208966900,208966900,way,yes,,,,,,,,,,,,,,,,,,,,,Student Center and Concordia 1,,public_building,1255.513,1,0,0,1,3.40922E-05,89.40277871,8125214.765,3981392.019
72.9900943,33.6462054,6,w208966900,208966900,way,yes,,,,,,,,,,,,,,,,,,,,,Student Center and Concordia 1,,public_building,1255.513,2,0,0,2,8.55087E-05,46.70760891,8125220.13,3981394.413
72.9901051,33.6462299,6,w208966900,208966900,way,yes,,,,,,,,,,,,,,,,,,,,,Student Center and Concordia 1,,public_building,1255.513,3,0,0,3,0.000112283,357.2867487,8125221.333,3981397.689
72.9900848,33.6462662,6,w208966900,208966900,way,yes,,,,,,,,,,,,,,,,,,,,,Student Center and Concordia 1,,public_building,1255.513,4,0,0,4,0.000153874,358.4950185,8125219.073,3981402.543
72.9901131,33.6463237,6,w208966900,208966900,way,yes,,,,,,,,,,,,,,,,,,,,,Student Center and Concordia 1,,public_building,1255.513,5,0,0,5,0.000217961,66.77581385,8125222.223,3981410.232
72.990156,33.6463103,6,w208966900,208966900,way,yes,,,,,,,,,,,,,,,,,,,,,Student Center and Concordia 1,,public_building,1255.513,6,0,0,6,0.000262905,87.88653467,8125226.999,3981408.44
72.9902124,33.6463326,6,w208966900,208966900,way,yes,,,,,,,,,,,,,,,,,,,,,Student Center and Concordia 1,,public_building,1255.513,7,0,0,7,0.000323554,109.6587947,8125233.277,3981411.422
72.9902472,33.6462701,6,w208966900,208966900,way,yes,,,,,,,,,,,,,,,,,,,,,Student Center and Concordia 1,,public_building,1255.513,8,0,0,8,0.000395089,107.8931855,8125237.151,3981403.064
72.9902901,33.6462902,6,w208966900,208966900,way,yes,,,,,,,,,,,,,,,,,,,,,Student Center and Concordia 1,,public_building,1255.513,9,0,0,9,0.000442464,65.63892082,8125241.927,3981405.752
72.9903411,33.6463125,6,w208966900,208966900,way,yes,,,,,,,,,,,,,,,,,,,,,Student Center and Concordia 1,,public_building,1255.513,10,0,0,10,0.000498127,83.62483449,8125247.604,3981408.734
72.990376,33.6463058,6,w208966900,208966900,way,yes,,,,,,,,,,,,,,,,,,,,,Student Center and Concordia 1,,public_building,1255.513,11,0,0,11,0.000533664,63.80833587,8125251.489,3981407.838
72.9904323,33.6464175,6,w208966900,208966900,way,yes,,,,,,,,,,,,,,,,,,,,,Student Center and Concordia 1,,public_building,1255.513,12,0,0,12,0.00065875,345.7269092,8125257.756,3981422.775
72.9904001,33.6464398,6,w208966900,208966900,way,yes,,,,,,,,,,,,,,,,,,,,,Student Center and Concordia 1,,public_building,1255.513,13,0,0,13,0.000697918,326.4078736,8125254.172,3981425.757
72.9903921,33.6464778,6,w208966900,208966900,way,yes,,,,,,,,,,,,,,,,,,,,,Student Center and Concordia 1,,public_building,1255.513,14,0,0,14,0.000736751,327.4394324,8125253.281,3981430.838
72.9903652,33.6464979,6,w208966900,208966900,way,yes,,,,,,,,,,,,,,,,,,,,,Student Center and Concordia 1,,public_building,1255.513,15,0,0,15,0.000770331,280.0796566,8125250.287,3981433.526
72.9902901,33.6464755,6,w208966900,208966900,way,yes,,,,,,,,,,,,,,,,,,,,,Student Center and Concordia 1,,public_building,1255.513,16,0,0,16,0.000848701,293.0975023,8125241.927,3981430.531
72.990266,33.6465224,6,w208966900,208966900,way,yes,,,,,,,,,,,,,,,,,,,,,Student Center and Concordia 1,,public_building,1255.513,17,0,0,17,0.00090143,311.7965159,8125239.244,3981436.802
72.9902365,33.6465336,6,w208966900,208966900,way,yes,,,,,,,,,,,,,,,,,,,,,Student Center and Concordia 1,,public_building,1255.513,18,0,0,18,0.000932985,336.6192658,8125235.96,3981438.3
